pot_id,plant_num,plant_species,above_biomass_g,below_biomass_g,date,notes,,,,,,,,,,,,,,,,,,,
114_N_CnEv_BRE,2,Elymus virginicus,0.446,0.418,8/16/2020,,,,,,,,,,,,,,,,,,,,
115_N_CnEv_BRE,1,Chamaecrista nictitans,1.19,0.297,8/17/2020,,,,,,,,,,,,,,,,,,,,
115_N_CnEv_BRE,2,Elymus virginicus,0.195,0.544,8/17/2020,,,,,,,,,,,,,,,,,,,,
116_N_EpEv_BRE,1,Eutrochium fistulosum,0.004,0.001,8/18/2020,,,,,,,,,,,,,,,,,,,,
116_N_EpEv_BRE,2,Elymus virginicus,0.24,0.212,8/18/2020,,,,,,,,,,,,,,,,,,,,
117_N_EpEv_BRE,1,Eutrochium fistulosum,0.821,2.262,8/18/2020,,,,,,,,,,,,,,,,,,,,
117_N_EpEv_BRE,2,Elymus virginicus,0.147,0.238,8/18/2020,,,,,,,,,,,,,,,,,,,,
118_N_EpEv_BRE,1,Eutrochium fistulosum,0.304,0.158,8/16/2020,,,,,,,,,,,,,,,,,,,,
118_N_EpEv_BRE,2,Elymus virginicus,0.252,0.133,8/18/2020,,,,,,,,,,,,,,,,,,,,
119_N_EpEv_BRE,1,Eutrochium fistulosum,3.425,2.225,8/18/2020,,,,,,,,,,,,,,,,,,,,
119_N_EpEv_BRE,2,Elymus virginicus,0.357,0.878,8/18/2020,,,,,,,,,,,,,,,,,,,,
120_N_EpEv_BRE,1,Eutrochium fistulosum,1.089,1.712,8/17/2020,,,,,,,,,,,,,,,,,,,,
120_N_EpEv_BRE,2,Elymus virginicus,0.346,1.159,8/17/20,,,,,,,,,,,,,,,,,,,,
121_X_CnCn_SMI,1,Chamaecrista nictitans,,,,dead,,,,,,,,,,,,,,,,,,,
121_X_CnCn_SMI,2,Chamaecrista nictitans,0.009,0.003,8/19/2020,no plant 1 - dead,,,,,,,,,,,,,,,,,,,
122_X_CnCn_SMI,1,Chamaecrista nictitans,,,,dead,,,,,,,,,,,,,,,,,,,
122_X_CnCn_SMI,2,Chamaecrista nictitans,0.086,0.017,8/20/2020,,,,,,,,,,,,,,,,,,,,
123_X_CnCn_SMI,1,Chamaecrista nictitans,0.105,0.056,8/16/2020,,,,,,,,,,,,,,,,,,,,
123_X_CnCn_SMI,2,Chamaecrista nictitans,0.194,0.089,8/16/2020,,,,,,,,,,,,,,,,,,,,
124_X_CnCn_SMI,1,Chamaecrista nictitans,0.034,0.014,8/18/2020,,,,,,,,,,,,,,,,,,,,
124_X_CnCn_SMI,2,Chamaecrista nictitans,,,,dead,,,,,,,,,,,,,,,,,,,
125_X_CnCn_SMI,1,Chamaecrista nictitans,,,,dead,,,,,,,,,,,,,,,,,,,
125_X_CnCn_SMI,2,Chamaecrista nictitans,,,,dead,,,,,,,,,,,,,,,,,,,
126_X_EpEp_SMI,1,Eutrochium fistulosum,,,,dead,,,,,,,,,,,,,,,,,,,
126_X_EpEp_SMI,2,Eutrochium fistulosum,0.418,0.274,8/19/2020,,,,,,,,,,,,,,,,,,,,
127_X_EpEp_SMI,1,Eutrochium fistulosum,0.037,0.221,8/20/2020,,,,,,,,,,,,,,,,,,,,
127_X_EpEp_SMI,2,Eutrochium fistulosum,,,,dead,,,,,,,,,,,,,,,,,,,
128_X_EpEp_SMI,1,Eutrochium fistulosum,0.308,0.291,8/15/2020,,,,,,,,,,,,,,,,,,,,
128_X_EpEp_SMI,2,Eutrochium fistulosum,0.404,0.432,8/15/2020,,,,,,,,,,,,,,,,,,,,
129_X_EpEp_SMI,1,Eutrochium fistulosum,,,,dead,,,,,,,,,,,,,,,,,,,
129_X_EpEp_SMI,2,Eutrochium fistulosum,0.465,0.371,8/18/2020,,,,,,,,,,,,,,,,,,,,
130_X_EpEp_SMI,1,Eutrochium fistulosum,0.376,0.779,8/18/2020,,,,,,,,,,,,,,,,,,,,
130_X_EpEp_SMI,2,Eutrochium fistulosum,1.024,0.638,8/18/2020,,,,,,,,,,,,,,,,,,,,
131_X_EvEv_SMI,1,Elymus virginicus,0.016,0.129,8/19/2020,,,,,,,,,,,,,,,,,,,,
131_X_EvEv_SMI,2,Elymus virginicus,0.025,0.198,8/19/2020,,,,,,,,,,,,,,,,,,,,
132_X_EvEv_SMI,1,Elymus virginicus,0.11,0.104,8/20/20,,,,,,,,,,,,,,,,,,,,
132_X_EvEv_SMI,2,Elymus virginicus,0.115,0.148,8/20/20,,,,,,,,,,,,,,,,,,,,
133_X_EvEv_SMI,1,Elymus virginicus,0.007,0.123,8/15/2020,,,,,,,,,,,,,,,,,,,,
133_X_EvEv_SMI,2,Elymus virginicus,0.075,0.158,8/15/2020,,,,,,,,,,,,,,,,,,,,
134_X_EvEv_SMI,1,Elymus virginicus,0.042,0.105,8/17/20,,,,,,,,,,,,,,,,,,,,
134_X_EvEv_SMI,2,Elymus virginicus,0.003,0.081,8/17/20,,,,,,,,,,,,,,,,,,,,
135_X_EvEv_SMI,1,Elymus virginicus,0.224,0.44,8/18/2020,,,,,,,,,,,,,,,,,,,,
135_X_EvEv_SMI,2,Elymus virginicus,0.01,0.072,8/18/2020,,,,,,,,,,,,,,,,,,,,
136_X_CnEp_SMI,1,Chamaecrista nictitans,0.008,0.001,8/19/2020,,,,,,,,,,,,,,,,,,,,
136_X_CnEp_SMI,2,Eutrochium fistulosum,0.609,0.421,8/19/2020,,,,,,,,,,,,,,,,,,,,
137_X_CnEp_SMI,1,Chamaecrista nictitans,,,,dead,,,,,,,,,,,,,,,,,,,
137_X_CnEp_SMI,2,Eutrochium fistulosum,0.279,0.188,8/17/2020,,,,,,,,,,,,,,,,,,,,
138_X_CnEp_SMI,1,Chamaecrista nictitans,0.077,0.079,8/15/2020,,,,,,,,,,,,,,,,,,,,
138_X_CnEp_SMI,2,Eutrochium fistulosum,0.021,0.022,8/15/2020,,,,,,,,,,,,,,,,,,,,
139_X_CnEp_SMI,1,Chamaecrista nictitans,0.014,0.015,8/18/2020,,,,,,,,,,,,,,,,,,,,
139_X_CnEp_SMI,2,Eutrochium fistulosum,0.091,0.046,8/18/2020,,,,,,,,,,,,,,,,,,,,
140_X_CnEp_SMI,1,Chamaecrista nictitans,0.549,0.088,8/19/20,,,,,,,,,,,,,,,,,,,,
140_X_CnEp_SMI,2,Eutrochium fistulosum,0.226,0.524,8/19/20,,,,,,,,,,,,,,,,,,,,
141_X_CnEv_SMI,1,Chamaecrista nictitans,0.08,,8/19/2020,,,,,,,,,,,,,,,,,,,,
141_X_CnEv_SMI,2,Elymus virginicus,0.045,0.127,8/19/2020,,,,,,,,,,,,,,,,,,,,
142_X_CnEv_SMI,1,Chamaecrista nictitans,0.059,0.041,8/20/2020,,,,,,,,,,,,,,,,,,,,
142_X_CnEv_SMI,2,Elymus virginicus,0.106,0.32,8/20/2020,,,,,,,,,,,,,,,,,,,,
143_X_CnEv_SMI,1,Chamaecrista nictitans,0.044,0.067,8/15/2020,,,,,,,,,,,,,,,,,,,,
143_X_CnEv_SMI,2,Elymus virginicus,0.047,0.147,8/15/2020,,,,,,,,,,,,,,,,,,,,
144_X_CnEv_SMI,1,Chamaecrista nictitans,,,,dead,,,,,,,,,,,,,,,,,,,
144_X_CnEv_SMI,2,Elymus virginicus,0.038,0.171,8/18/2020,,,,,,,,,,,,,,,,,,,,
145_X_CnEv_SMI,1,Chamaecrista nictitans,,,,dead,,,,,,,,,,,,,,,,,,,
145_X_CnEv_SMI,2,Elymus virginicus,0.016,0.164,8/18/2020,,,,,,,,,,,,,,,,,,,,
146_X_EpEv_SMI,1,Eutrochium fistulosum,0.349,0.33,8/19/2020,,,,,,,,,,,,,,,,,,,,
146_X_EpEv_SMI,2,Elymus virginicus,0.067,0.106,8/19/2020,,,,,,,,,,,,,,,,,,,,
147_X_EpEv_SMI,1,Eutrochium fistulosum,0.391,0.261,8/20/2020,,,,,,,,,,,,,,,,,,,,
148_X_EpEv_SMI,1,Eutrochium fistulosum,0.566,0.286,8/16/20,,,,,,,,,,,,,,,,,,,,
148_X_EpEv_SMI,2,Elymus virginicus,0.055,0.046,8/16/20,,,,,,,,,,,,,,,,,,,,
149_X_EpEv_SMI,1,Eutrochium fistulosum,0.624,0.576,8/18/2020,,,,,,,,,,,,,,,,,,,,
149_X_EpEv_SMI,2,Elymus virginicus,0.383,0.317,08/18/2020,,,,,,,,,,,,,,,,,,,,
150_X_EpEv_SMI,1,Eutrochium fistulosum,0.139,0.598,8/18/2020,,,,,,,,,,,,,,,,,,,,
150_X_EpEv_SMI,2,Elymus virginicus,0.216,0.177,8/18/20,,,,,,,,,,,,,,,,,,,,
151_N_CnCn_SMI,1,Chamaecrista nictitans,,,,dead,,,,,,,,,,,,,,,,,,,
151_N_CnCn_SMI,2,Chamaecrista nictitans,,,,dead,,,,,,,,,,,,,,,,,,,
152_N_CnCn_SMI,1,Chamaecrista nictitans,0.126,0.058,8/20/20,,,,,,,,,,,,,,,,,,,,
152_N_CnCn_SMI,2,Chamaecrista nictitans,0.179,0.015,8/20/2020,,,,,,,,,,,,,,,,,,,,
153_N_CnCn_SMI,1,Chamaecrista nictitans,0.025,0.042,8/16/2020,,,,,,,,,,,,,,,,,,,,
153_N_CnCn_SMI,2,Chamaecrista nictitans,0.01,0.013,8/16/2020,,,,,,,,,,,,,,,,,,,,
154_N_CnCn_SMI,1,Chamaecrista nictitans,0.071,0.071,8/16/20,,,,,,,,,,,,,,,,,,,,
154_N_CnCn_SMI,2,Chamaecrista nictitans,0.13,0.051,8/16/20,,,,,,,,,,,,,,,,,,,,
155_N_CnCn_SMI,1,Chamaecrista nictitans,0.091,0.032,8/18/2020,,,,,,,,,,,,,,,,,,,,
155_N_CnCn_SMI,2,Chamaecrista nictitans,0.108,0.082,8/18/2020,,,,,,,,,,,,,,,,,,,,
156_N_EpEp_SMI,1,Eutrochium fistulosum,0.011,0.126,8/19/20,,,,,,,,,,,,,,,,,,,,
156_N_EpEp_SMI,2,Eutrochium fistulosum,0.343,0.538,8/19/20,,,,,,,,,,,,,,,,,,,,
157_N_EpEp_SMI,1,Eutrochium fistulosum,0.382,0.476,8/20/2020,no plant 2 - dead,,,,,,,,,,,,,,,,,,,
157_N_EpEp_SMI,2,Eutrochium fistulosum,,,,dead,,,,,,,,,,,,,,,,,,,
158_N_EpEp_SMI,1,Eutrochium fistulosum,0.602,0.65,8/15/2020,,,,,,,,,,,,,,,,,,,,
158_N_EpEp_SMI,2,Eutrochium fistulosum,0.255,0.588,8/15/2020,,,,,,,,,,,,,,,,,,,,
159_N_EpEp_SMI,1,Eutrochium fistulosum,0.367,0.315,8/18/2020,,,,,,,,,,,,,,,,,,,,
159_N_EpEp_SMI,2,Eutrochium fistulosum,0.48,0.216,8/18/2020,,,,,,,,,,,,,,,,,,,,
160_N_EpEp_SMI,1,Eutrochium fistulosum,0.162,0.191,8/18/20,,,,,,,,,,,,,,,,,,,,
160_N_EpEp_SMI,2,Eutrochium fistulosum,1.4,3.997,8/18/20,,,,,,,,,,,,,,,,,,,,
161_N_EvEv_SMI,1,Elymus virginicus,0.099,0.157,08/19/2020,,,,,,,,,,,,,,,,,,,,
161_N_EvEv_SMI,2,Elymus virginicus,0.341,0.248,08/19/2020,,,,,,,,,,,,,,,,,,,,
162_N_EvEv_SMI,1,Elymus virginicus,0.132,0.127,8/19/20,,,,,,,,,,,,,,,,,,,,
162_N_EvEv_SMI,2,Elymus virginicus,0.205,0.186,8/19/20,,,,,,,,,,,,,,,,,,,,
163_N_EvEv_SMI,1,Elymus virginicus,0.048,0.151,8/16/2020,,,,,,,,,,,,,,,,,,,,
163_N_EvEv_SMI,2,Elymus virginicus,0.051,0.093,8/16/2020,,,,,,,,,,,,,,,,,,,,
164_N_EvEv_SMI,1,Elymus virginicus,0.014,0.114,8/17/2020,,,,,,,,,,,,,,,,,,,,
164_N_EvEv_SMI,2,Elymus virginicus,0.03,0.209,8/17/2020,,,,,,,,,,,,,,,,,,,,
165_N_EvEv_SMI,1,Elymus virginicus,0.007,0.044,8/18/2020,,,,,,,,,,,,,,,,,,,,
165_N_EvEv_SMI,2,Elymus virginicus,,,,dead,,,,,,,,,,,,,,,,,,,
166_N_CnEp_SMI,1,Chamaecrista nictitans,,,,dead,,,,,,,,,,,,,,,,,,,
166_N_CnEp_SMI,2,Eutrochium fistulosum,,,,dead,,,,,,,,,,,,,,,,,,,
167_N_CnEp_SMI,1,Chamaecrista nictitans,,,,dead,,,,,,,,,,,,,,,,,,,
167_N_CnEp_SMI,2,Eutrochium fistulosum,0.986,0.834,8/20/2020,,,,,,,,,,,,,,,,,,,,
168_N_CnEp_SMI,1,Chamaecrista nictitans,,,,dead,,,,,,,,,,,,,,,,,,,
168_N_CnEp_SMI,2,Eutrochium fistulosum,0.642,0.4,8/16/2020,,,,,,,,,,,,,,,,,,,,
169_N_CnEp_SMI,1,Chamaecrista nictitans,0.465,0.118,8/17/2020,,,,,,,,,,,,,,,,,,,,
169_N_CnEp_SMI,2,Eutrochium fistulosum,0.516,0.45,8/17/2020,,,,,,,,,,,,,,,,,,,,
170_N_CnEp_SMI,1,Chamaecrista nictitans,0.08,0.01,8/19/20,,,,,,,,,,,,,,,,,,,,
170_N_CnEp_SMI,2,Eutrochium fistulosum,0.002,0.053,8/19/20,,,,,,,,,,,,,,,,,,,,
171_N_CnEv_SMI,1,Chamaecrista nictitans,0.065,0.049,8/19/2020,,,,,,,,,,,,,,,,,,,,
171_N_CnEv_SMI,2,Elymus virginicus,0.066,0.074,8/19/2020,,,,,,,,,,,,,,,,,,,,
172_N_CnEv_SMI,1,Chamaecrista nictitans,0.647,0.132,08/20/2020,,,,,,,,,,,,,,,,,,,,
172_N_CnEv_SMI,2,Elymus virginicus,0.121,0.179,8/20/2020,,,,,,,,,,,,,,,,,,,,
173_N_CnEv_SMI,1,Chamaecrista nictitans,0,0.006,8/16/2020,,,,,,,,,,,,,,,,,,,,
173_N_CnEv_SMI,2,Elymus virginicus,0.173,0.271,8/16/2020,,,,,,,,,,,,,,,,,,,,
174_N_CnEv_SMI,1,Chamaecrista nictitans,,,,dead,,,,,,,,,,,,,,,,,,,
174_N_CnEv_SMI,2,Elymus virginicus,0.038,0.25,8/18/2020,,,,,,,,,,,,,,,,,,,,
175_N_CnEv_SMI,1,Chamaecrista nictitans,,,,dead,,,,,,,,,,,,,,,,,,,
175_N_CnEv_SMI,2,Elymus virginicus,0.047,0.047,8/18/2020,,,,,,,,,,,,,,,,,,,,
176_N_EpEv_SMI,1,Eutrochium fistulosum,1.012,1.161,8/19/2020,,,,,,,,,,,,,,,,,,,,
176_N_EpEv_SMI,2,Elymus virginicus,0.113,0.155,8/19/2020,,,,,,,,,,,,,,,,,,,,
177_N_EpEv_SMI,1,Eutrochium fistulosum,1.523,1.186,8/20/2020,,,,,,,,,,,,,,,,,,,,
177_N_EpEv_SMI,2,Elymus virginicus,0.263,0.328,8/20/2020,,,,,,,,,,,,,,,,,,,,
178_N_EpEv_SMI,1,Eutrochium fistulosum,0.423,0.327,8/15/2020,,,,,,,,,,,,,,,,,,,,
178_N_EpEv_SMI,2,Elymus virginicus,0.093,0.164,8/15/2020,,,,,,,,,,,,,,,,,,,,
179_N_EpEv_SMI,1,Eutrochium fistulosum,0.364,0.17,8/18/2020,,,,,,,,,,,,,,,,,,,,
179_N_EpEv_SMI,2,Elymus virginicus,0.285,0.555,08/18/2020,,,,,,,,,,,,,,,,,,,,
180_N_EpEv_SMI,1,Eutrochium fistulosum,0.335,0.282,8/18/2020,,,,,,,,,,,,,,,,,,,,
180_N_EpEv_SMI,2,Elymus virginicus,0.514,0.213,8/18/2020,,,,,,,,,,,,,,,,,,,,
147_X_EpEv_SMI,2,Elymus virginicus,0.062,0.048,8/20/20,,,,,,,,,,,,,,,,,,,,
